Asesoría legal;Patrimonio Gastos - GA;
Costo de Ventas;Patrimonio Gastos - CV;
Ventas;Patrimonio Ingresos - ING;
Capital;Patrimonio Cuentas;
Reserva legal;Patrimonio Cuentas;
Resultados Acumulados;Patrimonio Cuentas;
Inmuebles, Maquinaria y Equipos;Activo No Corriente;
Alquileres de oficinas administrativas;Patrimonio Gastos - GA;
Alquileres de local de ventas;Patrimonio Gastos - GV;
Sueldos de los vendedores;Patrimonio Gastos - GV;
Amortización de software administrativo;Patrimonio Gastos - GA;
Utilidad Acumulada;Patrmionio Cuentas;
Resultado del Ejercicio;Patrimonio Cuentas;
Tributos por pagar IR;Pasivo Corriente;
Existencias;Activo Corriente;
Beneficios Sociables Trabajadores;Pasivo Corriente;
